asin,name,rating,Review_date,verified,title,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice,id,year,month,day,Week_Number
B002WTC1NG,Sara Thompson,5,08/12/2017,TRUE,"This is not a prepaid device. But Verizon made me purchase minutes? - Fixed, great phone!",3,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,244,2017,12,8,49
B002WTC1NG,Hawgfan,5,04/07/2018,TRUE,Used the V860 for over 10 years,3,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,245,2018,7,4,27
B002WTC1NG,HeavyHarrison,5,12/03/2016,TRUE,Great phone with 2 catches,3,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,246,2016,3,12,10
B002WTC1NG,Dr. E.,5,31/03/2017,TRUE,Impressed with customer focus...,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,247,2017,3,31,13
B002WTC1NG,Rose,5,22/01/2016,TRUE,Practically undamageable,2,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,248,2016,1,22,3
B002WTC1NG,Joseph,3,16/01/2017,TRUE,No longer charges new battery 100%.,2,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,249,2017,1,16,3
B002WTC1NG,T. David Brown,5,09/08/2015,TRUE,exceeded expectation,3,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,250,2015,8,9,32
B002WTC1NG,Mark Riding,5,16/05/2014,TRUE,10 out of 10. Great product and great price.,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,251,2014,5,16,20
B002WTC1NG,Patrick J. HILDEBRAND,4,01/12/2014,TRUE,Takes a beating!,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,252,2014,12,1,49
B002WTC1NG,Clay,5,22/01/2013,TRUE,Great for the price,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,253,2013,1,22,4
B002WTC1NG,KWNX,5,28/04/2013,TRUE,BackUp Assistant Reset Procedure,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,254,2013,4,28,17
B002WTC1NG,LindsB,1,14/05/2014,TRUE,Definitely refurbished,2,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,255,2014,5,14,20
B002WTC1NG,J. Bell,5,03/02/2013,TRUE,Excellent phone,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,256,2013,2,3,5
B002WTC1NG,Daniel L.,3,23/11/2012,TRUE,used phone still the way to go,2,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,257,2012,11,23,47
B002WTC1NG,Ric Porter,5,12/03/2014,TRUE,So glad I found this phone!,12,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,258,2014,3,12,11
B002WTC1NG,mm28302,5,09/01/2013,TRUE,Great Phone,6,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,259,2013,1,9,2
B002WTC1NG,Old Slappy Mc Gee,4,05/05/2010,TRUE,"SIMPLE? YES, RUGGED? Meh... Not so much. Good reception.",14,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,260,2010,5,5,18
